Feature,Method,Cost Function,Number of Changepoints,Minimum Gap Between Changepoints,Penalty,Window Size,Position
Tonal_S,PELT,l1,N/A,5,0.2,N/A,10
Tonal_S,PELT,l1,N/A,5,0.2,N/A,20
Tonal_S,PELT,l1,N/A,5,0.2,N/A,25
Tonal_S,PELT,l1,N/A,5,0.2,N/A,45
Tonal_S,PELT,l1,N/A,5,0.2,N/A,50
Tonal_S,PELT,l1,N/A,5,0.2,N/A,55
Tonal_S,PELT,l1,N/A,5,0.2,N/A,69
Tonal_S,PELT,l1,N/A,5,0.65,N/A,10
Tonal_S,PELT,l1,N/A,5,0.65,N/A,45
Tonal_S,PELT,l1,N/A,5,0.65,N/A,69
Tonal_S,PELT,l1,N/A,5,1.1,N/A,10
Tonal_S,PELT,l1,N/A,5,1.1,N/A,45
Tonal_S,PELT,l1,N/A,5,1.1,N/A,69
Tonal_S,PELT,l1,N/A,5,1.55,N/A,69
Tonal_S,PELT,l1,N/A,5,2.0,N/A,69
Tonal_S,Bottom-up,l1,False,5,N/A,N/A,69
Tonal_S,Bottom-up,l1,1,5,N/A,N/A,45
Tonal_S,Bottom-up,l1,1,5,N/A,N/A,69
Tonal_S,Bottom-up,l1,2,5,N/A,N/A,10
Tonal_S,Bottom-up,l1,2,5,N/A,N/A,45
Tonal_S,Bottom-up,l1,2,5,N/A,N/A,69
Tonal_S,Bottom-up,l1,3,5,N/A,N/A,10
Tonal_S,Bottom-up,l1,3,5,N/A,N/A,45
Tonal_S,Bottom-up,l1,3,5,N/A,N/A,55
Tonal_S,Bottom-up,l1,3,5,N/A,N/A,69
Tonal_S,Bottom-up,l1,4,5,N/A,N/A,10
Tonal_S,Bottom-up,l1,4,5,N/A,N/A,45
Tonal_S,Bottom-up,l1,4,5,N/A,N/A,50
Tonal_S,Bottom-up,l1,4,5,N/A,N/A,55
Tonal_S,Bottom-up,l1,4,5,N/A,N/A,69
Tonal_S,PELT,l1,N/A,6,0.2,N/A,10
Tonal_S,PELT,l1,N/A,6,0.2,N/A,45
Tonal_S,PELT,l1,N/A,6,0.2,N/A,55
Tonal_S,PELT,l1,N/A,6,0.2,N/A,69
Tonal_S,PELT,l1,N/A,6,0.65,N/A,10
Tonal_S,PELT,l1,N/A,6,0.65,N/A,45
Tonal_S,PELT,l1,N/A,6,0.65,N/A,69
Tonal_S,PELT,l1,N/A,6,1.1,N/A,10
Tonal_S,PELT,l1,N/A,6,1.1,N/A,45
Tonal_S,PELT,l1,N/A,6,1.1,N/A,69
Tonal_S,PELT,l1,N/A,6,1.55,N/A,69
Tonal_S,PELT,l1,N/A,6,2.0,N/A,69
Tonal_S,Bottom-up,l1,False,6,N/A,N/A,69
Tonal_S,Bottom-up,l1,1,6,N/A,N/A,50
Tonal_S,Bottom-up,l1,1,6,N/A,N/A,69
Tonal_S,Bottom-up,l1,2,6,N/A,N/A,15
Tonal_S,Bottom-up,l1,2,6,N/A,N/A,50
Tonal_S,Bottom-up,l1,2,6,N/A,N/A,69
Tonal_S,Bottom-up,l1,3,6,N/A,N/A,15
Tonal_S,Bottom-up,l1,3,6,N/A,N/A,50
Tonal_S,Bottom-up,l1,3,6,N/A,N/A,60
Tonal_S,Bottom-up,l1,3,6,N/A,N/A,69
Tonal_S,Bottom-up,l1,4,6,N/A,N/A,15
Tonal_S,Bottom-up,l1,4,6,N/A,N/A,25
Tonal_S,Bottom-up,l1,4,6,N/A,N/A,50
Tonal_S,Bottom-up,l1,4,6,N/A,N/A,60
Tonal_S,Bottom-up,l1,4,6,N/A,N/A,69
Tonal_S,PELT,l1,N/A,7,0.2,N/A,10
Tonal_S,PELT,l1,N/A,7,0.2,N/A,45
Tonal_S,PELT,l1,N/A,7,0.2,N/A,55
Tonal_S,PELT,l1,N/A,7,0.2,N/A,69
