"feature","alpha","k","min_size","pos"
"Tonal_S",1,"1",5,49
"Tonal_S",1,"1",6,49
"Tonal_S",1,"1",7,49
"Tonal_S",1,"1",8,49
"Tonal_S",1,"1",9,49
"Tonal_S",1,"1",10,49
"Tonal_S",1,"2",5,49
"Tonal_S",1,"2",5,56
"Tonal_S",1,"2",6,49
"Tonal_S",1,"2",6,56
"Tonal_S",1,"2",7,49
"Tonal_S",1,"2",7,56
"Tonal_S",1,"2",8,49
"Tonal_S",1,"2",8,57
"Tonal_S",1,"2",9,10
"Tonal_S",1,"2",9,49
"Tonal_S",1,"2",10,11
"Tonal_S",1,"2",10,49
"Tonal_S",1,"3",5,49
"Tonal_S",1,"3",5,56
"Tonal_S",1,"3",5,64
"Tonal_S",1,"3",6,49
"Tonal_S",1,"3",6,56
"Tonal_S",1,"3",6,64
"Tonal_S",1,"3",7,10
"Tonal_S",1,"3",7,49
"Tonal_S",1,"3",7,56
"Tonal_S",1,"3",8,10
"Tonal_S",1,"3",8,49
"Tonal_S",1,"3",8,57
"Tonal_S",1,"3",9,10
"Tonal_S",1,"3",9,33
"Tonal_S",1,"3",9,49
"Tonal_S",1,"3",10,11
"Tonal_S",1,"3",10,33
"Tonal_S",1,"3",10,49
"Tonal_S",1,"4",5,10
"Tonal_S",1,"4",5,49
"Tonal_S",1,"4",5,56
"Tonal_S",1,"4",5,64
"Tonal_S",1,"4",6,10
"Tonal_S",1,"4",6,49
"Tonal_S",1,"4",6,56
"Tonal_S",1,"4",6,64
"Tonal_S",1,"4",7,10
"Tonal_S",1,"4",7,49
"Tonal_S",1,"4",7,56
"Tonal_S",1,"4",7,63
"Tonal_S",1,"4",8,10
"Tonal_S",1,"4",8,33
"Tonal_S",1,"4",8,49
"Tonal_S",1,"4",8,57
"Tonal_S",1,"4",9,10
"Tonal_S",1,"4",9,33
"Tonal_S",1,"4",9,49
"Tonal_S",1,"4",9,58
"Tonal_S",1,"4",10,11
"Tonal_S",1,"4",10,33
"Tonal_S",1,"4",10,49
"Tonal_S",1,"4",10,59
"Tonal_S",1,"NULL",5,49
"Tonal_S",1,"NULL",5,56
"Tonal_S",1,"NULL",5,64
"Tonal_S",1,"NULL",6,49
"Tonal_S",1,"NULL",6,56
"Tonal_S",1,"NULL",6,64
"Tonal_S",1,"NULL",7,49
"Tonal_S",1,"NULL",7,56
"Tonal_S",1,"NULL",8,49
"Tonal_S",1,"NULL",8,57
"Tonal_S",1,"NULL",9,49
"Tonal_S",1,"NULL",10,49
"Tonal_S",2,"1",5,49
"Tonal_S",2,"1",6,49
"Tonal_S",2,"1",7,49
"Tonal_S",2,"1",8,49
"Tonal_S",2,"1",9,49
"Tonal_S",2,"1",10,49
"Tonal_S",2,"2",5,49
"Tonal_S",2,"2",5,56
"Tonal_S",2,"2",6,49
"Tonal_S",2,"2",6,56
"Tonal_S",2,"2",7,49
"Tonal_S",2,"2",7,56
"Tonal_S",2,"2",8,49
"Tonal_S",2,"2",8,57
"Tonal_S",2,"2",9,10
"Tonal_S",2,"2",9,49
"Tonal_S",2,"2",10,11
"Tonal_S",2,"2",10,49
"Tonal_S",2,"3",5,49
"Tonal_S",2,"3",5,56
"Tonal_S",2,"3",5,64
"Tonal_S",2,"3",6,49
"Tonal_S",2,"3",6,56
"Tonal_S",2,"3",6,64
"Tonal_S",2,"3",7,10
"Tonal_S",2,"3",7,49
"Tonal_S",2,"3",7,56
"Tonal_S",2,"3",8,10
"Tonal_S",2,"3",8,49
"Tonal_S",2,"3",8,57
"Tonal_S",2,"3",9,10
"Tonal_S",2,"3",9,34
"Tonal_S",2,"3",9,49
"Tonal_S",2,"3",10,11
"Tonal_S",2,"3",10,34
"Tonal_S",2,"3",10,49
"Tonal_S",2,"4",5,10
"Tonal_S",2,"4",5,49
"Tonal_S",2,"4",5,56
"Tonal_S",2,"4",5,64
"Tonal_S",2,"4",6,10
"Tonal_S",2,"4",6,49
