"feature","alpha","k","min_size","pos"
"Tonal_S",1,"1",5,10
"Tonal_S",1,"1",6,9
"Tonal_S",1,"1",7,9
"Tonal_S",1,"1",8,9
"Tonal_S",1,"1",9,10
"Tonal_S",1,"1",10,47
"Tonal_S",1,"2",5,10
"Tonal_S",1,"2",5,46
"Tonal_S",1,"2",6,9
"Tonal_S",1,"2",6,46
"Tonal_S",1,"2",7,9
"Tonal_S",1,"2",7,46
"Tonal_S",1,"2",8,9
"Tonal_S",1,"2",8,46
"Tonal_S",1,"2",9,10
"Tonal_S",1,"2",9,46
"Tonal_S",1,"2",10,11
"Tonal_S",1,"2",10,47
"Tonal_S",1,"3",5,10
"Tonal_S",1,"3",5,15
"Tonal_S",1,"3",5,46
"Tonal_S",1,"3",6,9
"Tonal_S",1,"3",6,15
"Tonal_S",1,"3",6,46
"Tonal_S",1,"3",7,9
"Tonal_S",1,"3",7,46
"Tonal_S",1,"3",7,56
"Tonal_S",1,"3",8,9
"Tonal_S",1,"3",8,46
"Tonal_S",1,"3",8,56
"Tonal_S",1,"3",9,10
"Tonal_S",1,"3",9,46
"Tonal_S",1,"3",9,56
"Tonal_S",1,"3",10,11
"Tonal_S",1,"3",10,47
"Tonal_S",1,"3",10,57
"Tonal_S",1,"4",5,10
"Tonal_S",1,"4",5,15
"Tonal_S",1,"4",5,46
"Tonal_S",1,"4",5,56
"Tonal_S",1,"4",6,9
"Tonal_S",1,"4",6,15
"Tonal_S",1,"4",6,46
"Tonal_S",1,"4",6,56
"Tonal_S",1,"4",7,9
"Tonal_S",1,"4",7,22
"Tonal_S",1,"4",7,46
"Tonal_S",1,"4",7,56
"Tonal_S",1,"4",8,9
"Tonal_S",1,"4",8,22
"Tonal_S",1,"4",8,46
"Tonal_S",1,"4",8,56
"Tonal_S",1,"4",9,10
"Tonal_S",1,"4",9,21
"Tonal_S",1,"4",9,46
"Tonal_S",1,"4",9,56
"Tonal_S",1,"4",10,11
"Tonal_S",1,"4",10,22
"Tonal_S",1,"4",10,47
"Tonal_S",1,"4",10,57
"Tonal_S",1,"NULL",5,10
"Tonal_S",1,"NULL",5,15
"Tonal_S",1,"NULL",5,46
"Tonal_S",1,"NULL",6,9
"Tonal_S",1,"NULL",6,46
"Tonal_S",1,"NULL",7,9
