ID,Year,Tonal_S,Pitch_SD,MIS,Onset_Density,TI_OD,ISO,PIC,RIC
2018_04_1,2018,0.6454764380986617,2.275354812608417,2.36,2.481031323914061,5.666666666666667,0.7959183673469388,2.8746822,1.0117766
2019_04_1,2019,0.7672471045588471,2.388863048955856,1.4915254237288136,2.204608743580608,3.75,0.4482758620689655,2.3339303,1.4782032
2012_02_4,2012,0.8439724695659051,3.2634441781695878,2.0869565217391304,2.8529876699336074,5.222222222222222,0.6666666666666666,2.028602,1.3275543
2005_04_4,2005,0.7675718214155672,2.192850599106104,2.3548387096774195,1.9530615318081697,3.555555555555556,0.2333333333333333,3.3997383,2.3536036
2004_04_4,2004,0.5860943730124017,2.047046653107838,1.7551020408163265,2.4770221519675117,6.25,0.5208333333333334,3.2822475,2.5660467
1988_05_3,1988,0.7096803543441452,2.9732535523211827,3.4,2.083333333333333,3.7142857142857135,0.5,2.3462121,1.9902298
2002_01_5,2002,0.6013381341797759,2.292110881002341,1.807692307692308,2.7795916722440053,6.75,0.64,3.9035106,1.8838091
1989_05_3,1989,0.6856479454287752,1.118033988749895,0.9130434782608696,1.5083001243255263,3.0,0.5,1.8360728,1.9303554
2009_05_2,2009,0.7283772779487275,2.0005906500232133,1.1555555555555554,2.573727432564457,5.75,0.6818181818181818,3.4295037,1.4643381
1977_02_4,1977,0.8888740878275971,3.2461515676258865,1.0769230769230769,2.4285726428577497,5.714285714285714,0.3157894736842105,4.0704327,2.4313293
2008_05_2,2008,0.7213755595684763,3.9407613477601,3.5416666666666665,1.5925487774714704,3.125,0.5652173913043478,2.9604201,2.0947943
1985_02_3,1985,0.7785058741690768,1.5587661999529314,1.761904761904762,1.375,3.142857142857143,0.6,2.734436,2.060399
1971_01_3,1971,0.6338088355802307,1.1547005383792517,1.2352941176470589,1.2699998518333506,2.25,0.125,2.8115587,3.5853276
1984_02_3,1984,0.787788515725734,2.7746627655633898,1.6756756756756757,2.1402295283525503,4.75,0.4722222222222222,4.103153,2.0336719
1993_04_3,1993,0.7351321591940781,2.2997584414213788,2.642857142857143,1.8148145123457295,3.75,0.6153846153846154,4.7862263,3.1873763
1961_02_2,1961,0.5991640827890796,2.8491698080390577,2.0,1.2874410889603731,2.75,0.25,5.1243057,2.8645997
2008_03_4,2008,0.6413443150517487,2.294891920248061,1.9069767441860463,2.0031605539050217,5.5,0.2619047619047619,3.875357,2.7472048
1994_01_2,1994,0.7638316219172212,2.3388504883057832,2.08,2.960641139304573,7.6,0.4594594594594595,3.7234907,2.1787117
1976_04_2,1976,0.7755298825649722,3.3179041056548013,2.628571428571429,1.9500002600000343,4.5,0.4117647058823529,3.9174602,2.4919095
1995_01_2,1995,0.7765341964239006,1.6277591959500646,1.375,1.759208356239692,6.25,0.1739130434782608,3.2124078,2.7114456
1960_02_2,1960,0.6457281412542693,3.1118473211261506,2.096774193548387,1.6776693157283609,4.0,0.1666666666666666,4.1241302,4.742733
2009_03_4,2009,0.7210375439735902,2.594106417798978,0.9743589743589745,3.659746826972201,7.375,0.6896551724137931,2.658906,1.3987522
1977_04_2,1977,0.8915700620802081,4.434939133867259,2.4545454545454546,1.0093745962501617,4.25,0.3125,5.7491384,3.6891766
