melody.id melody.name mean.information.content
1 "1950_01_1" 4.2805996
2 "1950_01_2" 4.8634963
3 "1950_02_1" 5.4629307
4 "1950_02_2" 4.455394
5 "1950_03_1" 2.8010824
6 "1950_03_2" 4.8318458
7 "1950_03_3" 3.1180222
8 "1950_03_4" 2.3889654
9 "1950_03_5" 2.553029
10 "1950_03_6" 4.6819215
11 "1950_03_7" 4.285175
12 "1950_04_1" 3.072897
13 "1950_04_2" 4.4265423
14 "1950_05_1" 4.3802447
15 "1950_05_2" 2.8341458
16 "1951_01_1" 4.00033
17 "1951_01_2" 5.266323
18 "1951_02_1" 4.7981215
19 "1951_02_2" 5.405847
20 "1951_03_1" 3.726587
21 "1951_03_2" 4.5480986
22 "1951_04_1" 3.2746196
23 "1951_04_2" 3.836329
24 "1951_05_1" 4.690475
25 "1951_05_2" 5.827602
26 "1951_05_3" 4.9929004
27 "1952_01_1" 4.0899873
28 "1952_01_2" 3.9796257
29 "1952_01_3" 5.2571673
30 "1952_02_1" 4.9272227
31 "1952_02_2" 5.1395264
32 "1952_02_3" 3.42006
33 "1952_03_1" 4.958914
34 "1952_03_2" 3.8428879
35 "1952_04_1" 5.4190636
36 "1952_04_2" 5.5983677
37 "1952_05_1" 5.7234073
38 "1952_05_2" 4.5229774
39 "1953_01_1" 5.9232078
40 "1953_01_2" 4.5609703
41 "1953_01_3" 5.64996
42 "1953_02_1" 3.7510614
43 "1953_02_2" 4.9315553
44 "1953_02_3" 4.8169146
45 "1953_03_1" 4.262281
46 "1953_03_2" 3.967732
47 "1953_04_1" 5.8124804
48 "1953_04_2" 5.1055756
49 "1953_04_3" 5.5704684
50 "1953_05_1" 5.353995
51 "1953_05_2" 4.6406054
52 "1954_01_1" 5.017909
53 "1954_01_2" 4.10174
54 "1954_01_3" 4.9699125
55 "1954_02_1" 4.7660403
56 "1954_02_2" 5.092789
57 "1954_03_1" 4.7609763
58 "1954_03_2" 4.8514647
59 "1954_03_3" 4.138505
60 "1954_04_1" 3.7495315
61 "1954_04_2" 4.5362673
62 "1954_04_3" 1.525272
63 "1954_05_1" 3.163501
64 "1954_05_2" 3.7169528
65 "1955_01_1" 4.695446
66 "1955_01_2" 2.7578843
67 "1955_01_3" 2.8842857
68 "1955_01_4" 4.20036
69 "1955_02_1" 4.4380403
70 "1955_03_1" 2.342304
71 "1955_04_1" 3.9270742
72 "1955_04_2" 5.838041
73 "1955_05_1" 3.614223
74 "1955_05_2" 5.415958
75 "1956_01_1" 3.7040377
76 "1956_02_1" 3.1276886
77 "1956_02_2" 5.510296
78 "1956_02_3" 4.3876123
79 "1956_03_1" 4.727898
80 "1956_04_1" 4.6165814
81 "1956_04_2" 4.85343
82 "1956_04_3" 4.760878
83 "1956_04_4" 4.8303022
84 "1956_05_1" 4.406648
85 "1956_05_2" 3.2581463
86 "1957_01_1" 2.805718
87 "1957_01_2" 3.9795296
88 "1957_02_1" 4.1536093
89 "1957_02_2" 5.649159
90 "1957_02_3" 6.0387144
91 "1957_03_1" 3.2561102
92 "1957_04_1" 2.4038668
93 "1957_04_2" 4.497154
94 "1957_05_1" 4.499582
95 "1957_05_2" 3.2613
96 "1957_05_3" 3.5794306
97 "1957_05_4" 4.9609966
98 "1958_01_1" 3.4312487
99 "1958_01_2" 4.3358183
100 "1958_01_3" 2.9047384
101 "1958_02a_1" 4.307698
102 "1958_02a_2" 3.8252954
103 "1958_02b_1" 3.6886284
104 "1958_02b_2" 2.9280858
105 "1958_03a_1" 5.878726
106 "1958_03a_2" 5.721159
107 "1958_03a_3" 5.6398396
108 "1958_03a_4" 5.003146
109 "1958_03b_1" 3.8067863
110 "1958_03b_2" 5.3015447
111 "1958_03b_3" 3.8592439
112 "1958_04_1" 2.8429253
113 "1958_04_2" 2.7803662
114 "1958_04_3" 2.9445274
115 "1958_05_1" 2.2048843
116 "1958_05_2" 3.337955
117 "1959_01_1" 3.164644
118 "1959_01_2" 2.2301667
119 "1959_02_1" 3.3084533
120 "1959_02_2" 4.0087323
121 "1959_02_3" 4.2886577
122 "1959_02_4" 4.5581264
123 "1959_03_1" 4.0059705
124 "1959_03_2" 5.2224793
125 "1959_03_3" 4.8149056
126 "1959_04_1" 4.626249
127 "1959_04_2" 5.1503086
128 "1959_04_3" 5.6444907
129 "1959_05_1" 3.3916428
130 "1960_01_1" 2.741946
131 "1960_01_2" 5.925956
132 "1960_01_3" 3.721305
133 "1960_01_4" 2.9895837
134 "1960_01_5" 2.186026
135 "1960_02_1" 4.3187003
136 "1960_02_2" 4.1241302
137 "1960_03_1" 3.1006818
138 "1960_03_2" 2.674935
139 "1960_04_1" 3.532123
140 "1960_04_2" 3.6226296
141 "1960_05_1" 4.1774154
142 "1960_05_2" 4.730797
143 "1961_01_1" 5.807357
144 "1961_01_2" 3.0410018
145 "1961_02_1" 3.959321
146 "1961_02_2" 5.1243057
147 "1961_02_3" 4.3149743
148 "1961_03_1" 4.2398925
149 "1961_03_2" 5.0575223
150 "1961_04_1" 4.070543
151 "1961_04_2" 3.8978798
152 "1961_05_1" 3.7722962
153 "1961_05_2" 3.4932349
154 "1962_01_1" 4.7354503
155 "1962_01_2" 5.2063694
156 "1962_01_3" 4.5097704
157 "1962_01_4" 5.766503
158 "1962_02_1" 4.554196
159 "1962_02_2" 3.9514346
160 "1962_03_1" 4.285616
161 "1962_03_2" 3.8829963
