melody.id melody.name mean.information.content
1 "1950_01_1" 2.825591
2 "1950_01_2" 2.3125708
3 "1950_02_1" 1.1048089
4 "1950_02_2" 1.2747892
5 "1950_03_1" 2.194171
6 "1950_03_2" 3.3059654
7 "1950_03_3" 1.9259207
8 "1950_03_4" 1.5567409
9 "1950_03_5" 0.5355388
10 "1950_03_6" 2.5848324
11 "1950_03_7" 1.6459047
12 "1950_04_1" 3.0084877
13 "1950_04_2" 3.8638077
14 "1950_05_1" 2.7394774
15 "1950_05_2" 1.5242887
16 "1951_01_1" 1.9987203
17 "1951_01_2" 3.0445957
18 "1951_02_1" 2.817564
19 "1951_02_2" 3.2241466
20 "1951_03_1" 1.8272648
21 "1951_03_2" 2.2986405
22 "1951_04_1" 1.3156526
23 "1951_04_2" 1.460906
24 "1951_05_1" 2.797632
25 "1951_05_2" 1.5727184
26 "1951_05_3" 1.8206078
27 "1952_01_1" 0.82391876
28 "1952_01_2" 2.2194643
29 "1952_01_3" 2.4365056
30 "1952_02_1" 2.1244602
31 "1952_02_2" 2.2275786
32 "1952_02_3" 1.6901759
33 "1952_03_1" 2.230725
34 "1952_03_2" 1.7388095
35 "1952_04_1" 2.2550442
36 "1952_04_2" 6.2466545
37 "1952_05_1" 2.0581315
38 "1952_05_2" 1.4396906
39 "1953_01_1" 2.2638192
40 "1953_01_2" 1.6255409
41 "1953_01_3" 2.4155319
42 "1953_02_1" 2.3654673
43 "1953_02_2" 3.9029338
44 "1953_02_3" 2.0469034
45 "1953_03_1" 2.839087
46 "1953_03_2" 2.393588
47 "1953_04_1" 2.0068827
48 "1953_04_2" 2.0182009
49 "1953_04_3" 2.6077907
50 "1953_05_1" 2.437021
51 "1953_05_2" 3.8233764
52 "1954_01_1" 3.3275304
53 "1954_01_2" 4.043158
54 "1954_01_3" 3.6141853
55 "1954_02_1" 2.4219093
56 "1954_02_2" 2.9590364
57 "1954_03_1" 2.1329405
58 "1954_03_2" 2.280309
59 "1954_03_3" 2.5636353
60 "1954_04_1" 2.599752
61 "1954_04_2" 2.9445758
62 "1954_04_3" 1.4027228
63 "1954_05_1" 1.829156
64 "1954_05_2" 4.097786
65 "1955_01_1" 2.3816466
66 "1955_01_2" 0.7080765
67 "1955_01_3" 1.0656053
68 "1955_01_4" 1.5678353
69 "1955_02_1" 1.5075035
70 "1955_03_1" 1.1236879
71 "1955_04_1" 1.0216115
72 "1955_04_2" 3.1587882
73 "1955_05_1" 2.870156
74 "1955_05_2" 2.255997
75 "1956_01_1" 1.4965205
76 "1956_02_1" 3.0696456
77 "1956_02_2" 4.6004925
78 "1956_02_3" 3.6894424
79 "1956_03_1" 2.3909519
80 "1956_04_1" 2.4133499
81 "1956_04_2" 3.6478388
82 "1956_04_3" 3.8623118
83 "1956_04_4" 4.1503158
84 "1956_05_1" 1.898968
85 "1956_05_2" 1.8950529
86 "1957_01_1" 2.3736386
87 "1957_01_2" 2.344925
88 "1957_02_1" 3.9331257
89 "1957_02_2" 3.7800741
90 "1957_02_3" 2.9683766
91 "1957_03_1" 2.7312686
92 "1957_04_1" 1.7391442
93 "1957_04_2" 3.9375563
94 "1957_05_1" 2.2637281
95 "1957_05_2" 1.960217
96 "1957_05_3" 2.5465462
97 "1957_05_4" 3.943593
98 "1958_01_1" 1.5505193
99 "1958_01_2" 4.039603
100 "1958_01_3" 2.4741795
101 "1958_02a_1" 1.9250231
102 "1958_02a_2" 2.2131755
103 "1958_02b_1" 1.1045686
104 "1958_02b_2" 2.402751
105 "1958_03a_1" 4.8049383
106 "1958_03a_2" 3.140368
107 "1958_03a_3" 4.2249045
108 "1958_03a_4" 3.3928647
109 "1958_03b_1" 3.6820095
110 "1958_03b_2" 2.045741
111 "1958_03b_3" 2.7961905
112 "1958_04_1" 1.8871413
113 "1958_04_2" 1.7170606
114 "1958_04_3" 1.4650227
115 "1958_05_1" 1.5120085
116 "1958_05_2" 1.8291788
117 "1959_01_1" 1.0081432
118 "1959_01_2" 1.2564154
119 "1959_02_1" 2.915233
120 "1959_02_2" 2.909413
121 "1959_02_3" 3.1317713
122 "1959_02_4" 3.0753193
123 "1959_03_1" 2.443024
124 "1959_03_2" 3.3444955
125 "1959_03_3" 2.9886684
126 "1959_04_1" 1.8885334
127 "1959_04_2" 3.1866596
128 "1959_04_3" 4.528729
129 "1959_05_1" 2.2045846
130 "1960_01_1" 1.4038091
131 "1960_01_2" 2.2860255
132 "1960_01_3" 1.4619176
133 "1960_01_4" 1.3006642
134 "1960_01_5" 0.2831684
135 "1960_02_1" 4.3770375
136 "1960_02_2" 4.742733
137 "1960_03_1" 2.4814754
138 "1960_03_2" 1.6293224
139 "1960_04_1" 1.9634849
140 "1960_04_2" 3.4211917
141 "1960_05_1" 3.6079488
142 "1960_05_2" 2.6418111
143 "1961_01_1" 2.85018
144 "1961_01_2" 1.9001533
145 "1961_02_1" 4.235084
146 "1961_02_2" 2.8645997
147 "1961_02_3" 2.876503
148 "1961_03_1" 2.37722
149 "1961_03_2" 1.9797227
150 "1961_04_1" 2.460536
151 "1961_04_2" 2.6200335
152 "1961_05_1" 2.1706505
153 "1961_05_2" 3.0815227
154 "1962_01_1" 4.5548935
155 "1962_01_2" 4.383909
156 "1962_01_3" 4.0187836
157 "1962_01_4" 3.6992354
158 "1962_02_1" 2.6965191
159 "1962_02_2" 3.1149635
160 "1962_03_1" 1.416146
161 "1962_03_2" 1.7008523
162 "1962_04_1" 3.5951958
163 "1962_04_2" 2.6980336
164 "1962_04_3" 4.564555
165 "1962_05_1" 2.4594297
166 "1962_05_2" 2.023632
167 "1962_05_3" 2.8908117
168 "1962_05_4" 2.3567212
169 "1962_05_5" 2.1819844
170 "1963_01_1" 1.7807819
171 "1963_01_2" 2.2443361
172 "1963_02_1" 3.1430516
173 "1963_02_2" 3.0374343
174 "1963_03_1" 1.719746
175 "1963_03_2" 1.4535191
176 "1963_04_1" 2.3385682
177 "1963_04_2" 1.8890184
178 "1963_05_1" 3.5896182
179 "1963_05_2" 3.4654887
180 "1963_05_3" 1.4553009
181 "1964_01_1" 2.6602657
182 "1964_01_2" 2.3724043
183 "1964_02_1" 2.1791615
184 "1964_02_2" 2.2708194
185 "1964_02_3" 3.1695414
186 "1964_03_1" 2.6990168
187 "1964_03_2" 3.024493
188 "1964_04_1" 2.0291982
189 "1964_04_2" 2.3470905
190 "1964_04_3" 3.0057967
191 "1964_05_1" 1.9512383
192 "1964_05_2" 2.2380624
193 "1964_05_3" 1.2258989
194 "1964_05_4" 3.7314534
195 "1965_01_1" 2.233834
196 "1965_01_2" 1.9604985
197 "1965_02_1" 2.4228168
198 "1965_02_2" 1.9820807
199 "1965_03_1" 3.4515996
200 "1965_03_2" 2.5361714
201 "1965_04_1" 3.0005596
202 "1965_05_1" 2.5689309
203 "1965_05_2" 2.9845767
204 "1965_05_3" 2.4441984
205 "1965_05_4" 2.4643533
206 "1966_01_1" 2.0903697
207 "1966_01_2" 2.5959353
208 "1966_02_1" 2.7847128
209 "1966_02_2" 2.4618294
210 "1966_02_3" 3.3626087
211 "1966_02_4" 2.513404
212 "1966_03_1" 2.3787339
213 "1966_03_2" 2.0730534
214 "1966_03_3" 1.3414348
215 "1966_04_1" 2.4576666
216 "1966_04_2" 0.69205534
217 "1966_05_1" 2.114013
218 "1966_05_2" 3.2989755
219 "1967_01_1" 3.4418652
220 "1967_01_2" 2.6795652
221 "1967_01_3" 2.450392
222 "1967_02_1" 1.6383258
223 "1967_02_2" 2.003629
224 "1967_03_1" 1.3625271
225 "1967_04_1" 1.8028358
226 "1967_04_2" 2.297019
227 "1967_05_1" 2.6460872
228 "1967_05_2" 2.6718147
229 "1967_05_3" 2.3732042
230 "1968_01_1" 2.3116393
231 "1968_01_2" 2.5307202
232 "1968_01_3" 4.412344
233 "1968_02_1" 2.678507
234 "1968_02_2" 4.06809
235 "1968_03_1" 2.8889697
236 "1968_03_2" 3.6150424
237 "1968_04_1" 1.9567573
238 "1968_04_2" 1.5991193
239 "1968_04_3" 1.859102
240 "1968_05_1" 1.7243024
241 "1968_05_2" 2.0477433
242 "1969_01_1" 3.1204333
243 "1969_01_2" 1.3807446
244 "1969_01_3" 1.7401155
245 "1969_02_1" 3.0278401
246 "1969_02_2" 2.5785825
247 "1969_02_3" 2.2277148
248 "1969_02_4" 2.7307856
249 "1969_02_5" 2.7078972
250 "1969_03_1" 2.7749157
251 "1969_03_2" 2.0848806
252 "1969_03_3" 2.6223605
253 "1969_04_1" 2.4188874
254 "1969_04_2" 2.8489559
255 "1969_05_1" 2.0222783
256 "1969_05_2" 3.9771118
257 "1969_05_3" 1.8621504
258 "1970_01_1" 4.6195726
259 "1970_01_2" 2.364436
260 "1970_02_1" 3.399892
261 "1970_02_2" 2.201693
262 "1970_02_3" 4.0435195
263 "1970_03_1" 2.0590427
264 "1970_03_2" 2.2550428
265 "1970_03_3" 2.4369256
266 "1970_04_1" 2.1704292
267 "1970_04_2" 4.21156
268 "1970_05_1" 2.7453513
269 "1970_05_2" 2.1557345
270 "1971_01_1" 1.5788995
271 "1971_01_2" 2.8453267
272 "1971_01_3" 3.5853276
273 "1971_02a_1" 2.5138905
274 "1971_02a_2" 2.6754632
275 "1971_02b_1" 3.3219256
276 "1971_02b_2" 2.5289576
277 "1971_03a_1" 2.1493192
278 "1971_03a_2" 2.2447567
279 "1971_03a_3" 2.3577216
280 "1971_03b_1" 2.0149107
281 "1971_03b_2" 1.8668393
282 "1971_03b_3" 3.1299317
283 "1971_04_1" 2.5104437
284 "1971_04_2" 2.4366462
285 "1971_05_1" 3.009511
286 "1971_05_2" 3.2670605
287 "1972_01_1" 3.9017198
288 "1972_02_1" 2.2742443
289 "1972_02_2" 2.5062141
290 "1972_03_1" 2.3196223
291 "1972_03_2" 2.3564498
292 "1972_03_3" 1.9817592
293 "1972_04_1" 2.7293465
294 "1972_04_2" 2.405286
295 "1972_05_1" 2.5769887
296 "1972_05_2" 3.0552993
297 "1972_05_3" 2.8062794
298 "1973_01_1" 2.573463
299 "1973_01_2" 2.5845563
300 "1973_01_3" 3.3643095
301 "1973_02_1" 2.1963882
302 "1973_02_2" 2.117278
303 "1973_03_1" 1.8656785
304 "1973_03_2" 2.773873
305 "1973_04_1" 2.5645592
306 "1973_04_2" 3.324534
307 "1973_04_3" 3.0005395
308 "1973_04_4" 2.6261544
309 "1973_04_5" 3.0688534
310 "1973_04_6" 3.2125368
311 "1973_04_7" 2.988404
312 "1973_04_8" 2.7408576
313 "1973_05_1" 2.883495
314 "1973_05_2" 3.5455704
315 "1973_05_3" 2.5352254
316 "1974_01_1" 2.5756848
317 "1974_01_2" 1.471286
318 "1974_01_3" 4.7462335
319 "1974_02_1" 1.8799601
320 "1974_02_2" 1.1994277
321 "1974_03_1" 2.7738123
322 "1974_03_2" 1.9255966
323 "1974_03_3" 2.542537
324 "1974_03_4" 1.0094186
325 "1974_04_1" 1.9197766
326 "1974_04_2" 1.8323503
327 "1974_04_3" 0.98061675
328 "1974_05_1" 2.586091
329 "1974_05_2" 2.405187
330 "1974_05_3" 2.4155154
331 "1974_05_4" 1.7838382
332 "1975_01_1" 2.9816232
333 "1975_01_2" 2.9348302
334 "1975_01_3" 3.1056516
335 "1975_02_1" 2.0003755
336 "1975_02_2" 2.5054626
337 "1975_02_3" 2.1647465
338 "1975_03_1" 1.825482
339 "1975_03_2" 2.4673357
340 "1975_03_3" 2.665773
341 "1975_04_1" 2.7406971
342 "1975_04_2" 2.8114486
343 "1975_05_1" 2.0680625
344 "1975_05_2" 2.299578
345 "1975_05_3" 1.9640822
346 "1976_01_1" 2.547369
347 "1976_01_2" 6.8796086
348 "1976_01_3" 1.8913782
349 "1976_01_4" 1.9203542
350 "1976_01_5" 0.8925862
351 "1976_02_1" 2.0443943
352 "1976_02_2" 2.4006782
353 "1976_02_3" 1.7810429
354 "1976_03_1" 1.7875847
355 "1976_03_2" 3.0522633
356 "1976_03_3" 2.2633328
357 "1976_03_4" 2.9888003
358 "1976_04_1" 2.945065
359 "1976_04_2" 2.4919095
360 "1976_04_3" 2.273807
361 "1976_05_1" 1.3401033
362 "1976_05_2" 1.5411036
363 "1976_05_3" 1.3989756
364 "1976_05_4" 1.6915464
365 "1977_01_1" 3.2409513
366 "1977_01_2" 3.0247478
367 "1977_01_3" 3.4276416
368 "1977_02_1" 2.1266801
369 "1977_02_2" 1.8748405
370 "1977_02_3" 2.5466952
371 "1977_02_4" 2.4313293
372 "1977_03_1" 1.6854255
373 "1977_03_2" 1.2753695
374 "1977_03_3" 2.3181064
375 "1977_03_4" 2.2884986
376 "1977_04_1" 3.6408312
377 "1977_04_2" 3.6891766
378 "1977_04_3" 2.8620067
379 "1977_04_4" 3.7940924
380 "1977_05_1" 2.1780899
381 "1977_05_2" 2.4402726
382 "1977_05_3" 1.965145
383 "1978_01_1" 2.2423048
384 "1978_01_2" 2.4061384
385 "1978_01_3" 2.0714393
386 "1978_02_1" 2.5747135
387 "1978_02_2" 2.1042988
388 "1978_02_3" 2.6313896
389 "1978_02_4" 1.9167862
390 "1978_03_1" 2.60349
391 "1978_03_2" 2.554497
392 "1978_04_2" 2.202707
393 "1978_04_3" 2.4930625
394 "1978_05_1" 2.0257347
395 "1978_05_2" 2.1690035
396 "1978_05_3" 2.7961495
397 "1978_05_4" 2.9868681
398 "1978_05_5" 2.0477333
399 "1978_05_6" 3.2622364
400 "1979_01_1" 1.689377
401 "1979_01_2" 2.2113507
402 "1979_01_3" 3.851538
403 "1979_02_1" 3.4341822
404 "1979_02_2" 2.695162
405 "1979_02_3" 2.8856385
406 "1979_02_4" 2.2623389
407 "1979_02_5" 2.801964
408 "1979_02_6" 2.4390538
409 "1979_03_1" 4.850849
410 "1979_03_2" 2.3075576
411 "1979_04_1" 2.1728415
412 "1979_04_2" 1.5923722
413 "1979_05_1" 1.3426692
414 "1979_05_2" 2.733751
415 "1979_05_3" 2.269234
416 "1980_01_1" 1.7761761
417 "1980_01_2" 2.4280045
418 "1980_01_3" 2.4351852
419 "1980_02_1" 3.023337
420 "1980_02_2" 2.751852
421 "1980_03_1" 2.835615
422 "1980_03_2" 2.167173
423 "1980_03_3" 2.1121109
424 "1980_04_1" 3.3879628
425 "1980_04_2" 2.562509
426 "1980_04_3" 2.373407
427 "1980_04_4" 3.022941
428 "1980_05_1" 1.4556221
429 "1980_05_2" 2.4407127
430 "1981_01_1" 1.8431488
431 "1981_01_2" 2.160661
432 "1981_02_1" 4.0111938
433 "1981_02_2" 3.7928925
434 "1981_02_3" 3.4094179
435 "1981_03_1" 2.7693932
436 "1981_03_2" 3.2175167
437 "1981_03_3" 3.7199821
438 "1981_04_1" 2.8130095
439 "1981_04_2" 2.8726242
440 "1981_04_3" 3.4163983
441 "1981_05_1" 1.5975238
442 "1981_05_2" 1.8207089
443 "1981_05_3" 2.0356822
444 "1981_05_4" 2.0778408
445 "1982_01_1" 2.0493343
446 "1982_01_2" 1.5357322
447 "1982_02_1" 2.9179478
448 "1982_02_2" 2.7301755
449 "1982_03_1" 2.284934
450 "1982_03_2" 2.1064694
451 "1982_04_1" 1.8101861
452 "1982_04_2" 2.3404539
453 "1982_04_3" 1.147927
454 "1982_05_1" 2.3765392
455 "1982_05_2" 2.120562
456 "1982_05_3" 2.2913089
457 "1983_01_1" 2.051331
458 "1983_01_2" 2.188373
459 "1983_01_3" 1.7912716
460 "1983_02_1" 1.8535132
461 "1983_02_2" 2.5313091
462 "1983_02_3" 1.9101411
463 "1983_03_1" 4.2827554
464 "1983_03_2" 3.0463665
465 "1983_04_1" 2.6843212
466 "1983_04_2" 2.367557
467 "1983_05_1" 1.4615438
468 "1983_05_2" 2.2660108
469 "1984_01_1" 2.2408369
470 "1984_02_1" 2.1849463
471 "1984_02_2" 2.4221642
472 "1984_02_3" 2.0336719
473 "1984_03_1" 2.3588507
474 "1984_03_2" 2.483906
475 "1984_03_3" 2.1600084
476 "1984_04_1" 2.4470053
477 "1984_04_2" 2.5748181
478 "1984_05_1" 2.1932764
479 "1984_05_2" 1.6206852
480 "1985_01_1" 2.504739
481 "1985_01_2" 2.0721097
482 "1985_01_3" 2.9612436
483 "1985_01_4" 2.0804005
484 "1985_02_1" 2.0069838
485 "1985_02_2" 2.3512652
486 "1985_02_3" 2.060399
487 "1985_03_1" 2.2810228
488 "1985_03_2" 2.2733872
489 "1985_03_3" 2.0408127
490 "1985_03_4" 2.6063664
491 "1985_04_1" 2.7442484
492 "1985_04_2" 2.725168
493 "1985_04_3" 2.6498704
494 "1985_05_1" 2.3184152
495 "1985_05_2" 2.252786
496 "1985_05_3" 1.8920416
497 "1986_01_1" 2.0941293
498 "1986_01_2" 2.634511
499 "1986_02_1" 3.590174
500 "1986_02_2" 2.3800573
501 "1986_02_3" 2.655942
502 "1986_03_1" 2.4553053
503 "1986_03_2" 3.3606112
504 "1986_03_3" 2.2953053
505 "1986_04_1" 2.8368711
506 "1986_04_2" 3.788322
